BILL_ID,CUSTOMER_ID,BILL_AMOUNT,PAYMENT_AMOUNT,BILL_DATE,PAYMENT_DATE,CHANNEL,BILL_STATUS,REFUND_FLAG
BILL131840,CUST10139,297574,4277841,2026-02-05 00:00:00,2026-02-07 00:00:00,Web,Paid,0
BILL609730,CUST10426,159926,159926,2026-02-01 00:00:00,2026-02-06 00:00:00,Web,Paid,0
BILL259465,CUST10203,136548,136548,2026-02-08 00:00:00,2026-02-12 00:00:00,Web,Paid,0
BILL663974,CUST10561,128775,128775,2026-02-06 00:00:00,2026-02-08 00:00:00,Web,Paid,0
BILL424439,CUST10613,196407,196407,2026-02-07 00:00:00,2026-02-08 00:00:00,Web,Paid,0
BILL173244,CUST10315,225792,225792,2026-02-01 00:00:00,2026-02-01 00:00:00,Web,Paid,0
BILL374746,CUST10607,252178,252178,2026-02-05 00:00:00,2026-02-07 00:00:00,Web,Paid,0
BILL291703,CUST10142,108800,108800,2026-02-02 00:00:00,2026-02-07 00:00:00,Mobile,Paid,1
BILL750651,CUST10484,198374,198374,2026-01-31 00:00:00,2026-02-05 00:00:00,Mobile,Paid,0
BILL532595,CUST10386,169828,7713,2026-01-31 00:00:00,2026-02-02 00:00:00,Mobile,Paid,0
BILL153047,CUST10168,255470,255470,2026-02-09 00:00:00,2026-02-14 00:00:00,Web,Paid,0
BILL480085,CUST10606,115208,1285550,2026-02-06 00:00:00,2026-02-07 00:00:00,Mobile,Paid,0
BILL628958,CUST10582,110491,110491,2026-02-07 00:00:00,2026-02-10 00:00:00,Web,Paid,0
BILL208990,CUST10492,178349,178349,2026-02-06 00:00:00,2026-02-09 00:00:00,Mobile,Paid,0
BILL522895,CUST10532,306998,306998,2026-02-08 00:00:00,2026-02-10 00:00:00,Web,Paid,0
BILL746229,CUST10197,242482,1243,2026-02-08 00:00:00,2026-02-09 00:00:00,Mobile,Paid,0
BILL348376,CUST10122,286581,286581,2026-02-10 00:00:00,2026-02-10 00:00:00,API,Paid,0
BILL160652,CUST10122,286581,286581,2026-02-10 00:00:00,2026-02-10 00:01:00,API,Paid,0
BILL547531,CUST10122,286581,286581,2026-02-10 00:00:00,2026-02-10 00:02:00,API,Paid,0
BILL577982,CUST10122,286581,286581,2026-02-10 00:00:00,2026-02-10 00:03:00,API,Paid,0
BILL858589,CUST10122,286581,286581,2026-02-10 00:00:00,2026-02-10 00:04:00,API,Paid,0
BILL559898,CUST10028,371934,371934,2026-02-04 00:00:00,2026-02-07 00:00:00,Mobile,Paid,0
BILL661772,CUST10047,307308,307308,2026-01-31 00:00:00,2026-02-01 00:00:00,Mobile,Paid,0
BILL779358,CUST10120,360615,360615,2026-02-01 00:00:00,2026-02-04 00:00:00,Mobile,Paid,0
BILL400183,CUST10128,235413,235413,2026-02-01 00:00:00,2026-02-02 00:00:00,Web,Paid,0
BILL625035,CUST10332,388940,388940,2026-01-31 00:00:00,2026-02-01 00:00:00,Web,Paid,0
BILL959252,CUST10521,311508,311508,2026-02-06 00:00:00,2026-02-11 00:00:00,Mobile,Paid,0
BILL827946,CUST10206,369902,369902,2026-02-09 00:00:00,2026-02-14 00:00:00,Web,Paid,0
BILL666463,CUST10129,185393,185393,2026-02-05 00:00:00,2026-02-06 00:00:00,Web,Paid,0
BILL809009,CUST10570,322635,322635,2026-02-09 00:00:00,2026-02-14 00:00:00,Mobile,Paid,0
BILL280184,CUST10274,392388,392388,2026-02-08 00:00:00,2026-02-10 00:00:00,Web,Paid,0
BILL902187,CUST10118,111521,111521,2026-02-07 00:00:00,2026-02-09 00:00:00,Mobile,Paid,0
BILL694895,CUST10289,182935,182935,2026-02-04 00:00:00,2026-02-06 00:00:00,Mobile,Paid,0
BILL298051,CUST10286,286179,286179,2026-02-04 00:00:00,2026-02-04 00:00:00,Mobile,Paid,0
BILL235181,CUST10412,307721,307721,2026-02-04 00:00:00,2026-02-06 00:00:00,Web,Paid,0
BILL818779,CUST10108,394781,6062,2026-02-05 00:00:00,2026-02-09 00:00:00,Mobile,Paid,0
BILL759351,CUST10347,395153,395153,2026-02-04 00:00:00,2026-02-09 00:00:00,Web,Paid,0
BILL150867,CUST10459,105072,105072,2026-02-01 00:00:00,2026-02-01 00:00:00,Mobile,Paid,0
BILL271912,CUST10549,273984,5257766,2026-02-09 00:00:00,2026-02-10 00:00:00,Web,Paid,0
BILL819752,CUST10198,186203,186203,2026-02-01 00:00:00,2026-02-03 00:00:00,Web,Paid,0
BILL253598,CUST10088,349015,349015,2026-02-01 00:00:00,2026-02-05 00:00:00,Mobile,Paid,0
BILL840956,CUST10530,291947,291947,2026-02-09 00:00:00,2026-02-10 00:00:00,Web,Paid,0
BILL107036,CUST10285,267241,267241,2026-02-05 00:00:00,2026-02-07 00:00:00,Mobile,Paid,0
BILL755413,CUST10203,136548,136548,2026-03-14 00:00:00,2026-03-15 00:00:00,Web,Paid,0
BILL176785,CUST10140,270876,270876,2026-02-02 00:00:00,2026-02-03 00:00:00,Web,Paid,0
BILL978212,CUST10378,339807,339807,2026-02-04 00:00:00,2026-02-07 00:00:00,Mobile,Paid,0
BILL703096,CUST10392,342300,342300,2026-01-31 00:00:00,2026-02-02 00:00:00,Web,Paid,0
BILL109232,CUST10267,211714,211714,2026-01-31 00:00:00,2026-02-04 00:00:00,Mobile,Paid,0
BILL747613,CUST10015,326173,326173,2026-02-07 00:00:00,2026-02-08 00:00:00,Mobile,Paid,0
BILL357057,CUST10206,369902,9200,2026-03-16 00:00:00,2026-03-16 00:00:00,Web,Paid,0
BILL569233,CUST10392,342300,342300,2026-03-04 00:00:00,2026-03-07 00:00:00,Web,Paid,0
BILL512333,CUST10247,237979,237979,2026-02-10 00:00:00,2026-02-10 00:00:00,Web,Paid,0
BILL421249,CUST10218,134040,134040,2026-02-09 00:00:00,2026-02-13 00:00:00,Mobile,Paid,0
BILL953793,CUST10259,355961,355961,2026-02-07 00:00:00,2026-02-07 00:00:00,Web,Paid,0
BILL255542,CUST10108,394781,394781,2026-03-11 00:00:00,2026-03-12 00:00:00,Mobile,Paid,0
BILL163862,CUST10587,189191,189191,2026-02-04 00:00:00,2026-02-08 00:00:00,Web,Paid,0
BILL340644,CUST10435,263580,263580,2026-02-04 00:00:00,2026-02-08 00:00:00,Mobile,Paid,0
BILL545087,CUST10353,244854,244854,2026-02-02 00:00:00,2026-02-06 00:00:00,Web,Paid,0
BILL494062,CUST10062,360981,360981,2026-02-09 00:00:00,2026-02-10 00:00:00,Mobile,Paid,0
BILL241441,CUST10177,219181,219181,2026-01-31 00:00:00,2026-01-31 00:00:00,Web,Paid,0
BILL519473,CUST10129,185393,185393,2026-03-08 00:00:00,2026-03-13 00:00:00,Web,Paid,0
BILL480816,CUST10250,127944,127944,2026-02-01 00:00:00,2026-02-03 00:00:00,Web,Paid,1
BILL621004,CUST10552,200373,2168023,2026-02-10 00:00:00,2026-02-12 00:00:00,Mobile,Paid,0
