Transaction ID,Original Trx ID,Service Source,User Account,Amount,IP Address,City,Country,Risk Score,Anomaly Score,Risk Level,Is Flagged ML,Violation Reason,Final Status,Transaction Time
179,514153843043,AGENUSA,card_night_112942,"Rp 148,492.64",180.250.50.60,-,-,0.0,0.032758,SAFE,NO,-,SAFE,2026-06-09 17:05:00
178,242354299414,AGENUSA,card_night_112942,"Rp 127,548.68",180.250.50.60,-,-,0.0,0.033155,SAFE,NO,-,SAFE,2026-06-09 15:05:00
177,010511343980,AGENUSA,card_night_112942,"Rp 128,202.03",114.10.20.30,-,-,0.0,0.032521,SAFE,NO,-,SAFE,2026-06-09 13:05:00
250,INV-5869405148,NUSABILL,cust-velo-2571,"Rp 462,575.72",114.10.20.30,-,-,30.0,-0.055267,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:08:12
176,289773720819,AGENUSA,card_jump_949886,"Rp 93,204.38",36.90.120.15,-,-,0.0,0.019488,SAFE,NO,-,SAFE,2026-06-09 12:08:00
175,910453840622,AGENUSA,card_velo_990569,"Rp 1,044,784.48",180.250.50.60,-,-,60.0,0.028758,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:07:55
249,INV-9231181310,NUSABILL,cust-velo-2571,"Rp 305,976.72",36.90.120.15,-,-,30.0,-0.021968,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:07:47
174,903087356131,AGENUSA,card_velo_990569,"Rp 212,891.20",114.10.20.30,-,-,60.0,0.028803,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:07:30
248,INV-5627479174,NUSABILL,cust-velo-2571,"Rp 375,417.97",114.10.20.30,-,-,30.0,-0.040939,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:07:22
173,308297068125,AGENUSA,card_velo_990569,"Rp 357,347.54",36.90.120.15,-,-,60.0,0.020217,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:07:05
172,904165864279,AGENUSA,card_super_281914,"Rp 3,767,204.67",114.10.20.30,-,-,88.0,0.016676,CRITICAL,NO,RULE:Very High Amount | PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:07:00
171,744314128868,AGENUSA,card_dcln_575270,"Rp 722,553.28",36.90.120.15,-,-,100.0,0.007164,CRITICAL,NO,PATTERN:Decline Velocity | PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,FRAUD,2026-06-09 12:07:00
247,INV-4098926906,NUSABILL,cust-velo-2571,"Rp 375,283.78",114.10.20.30,-,-,30.0,-0.040824,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:06:57
246,INV-9959980811,NUSABILL,cust-burst-5821,"Rp 389,485.72",114.10.20.30,-,-,30.0,-0.05058,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:06:57
170,105985279195,AGENUSA,cust210859,"Rp 420,074.62",180.250.50.60,-,-,0.0,0.031915,SAFE,NO,-,SAFE,2026-06-09 12:06:50
169,498436281070,AGENUSA,card_super_281914,"Rp 2,310,781.98",114.10.20.30,-,-,88.0,0.017257,CRITICAL,NO,RULE:Very High Amount | PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:45
168,527761100209,AGENUSA,card_velo_990569,"Rp 579,643.48",114.10.20.30,-,-,60.0,0.028982,HIGH,NO,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:40
167,385751125940,AGENUSA,cust932456,"Rp 888,119.90",114.10.20.30,-,-,0.0,0.027088,SAFE,NO,-,SAFE,2026-06-09 12:06:40
245,INV-4865418887,NUSABILL,cust-burst-5821,"Rp 348,947.69",180.250.50.60,-,-,30.0,-0.026901,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:06:37
244,INV-6194149418,NUSABILL,cust-velo-2571,"Rp 307,189.58",180.250.50.60,-,-,30.0,-0.021945,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:06:32
166,477446533700,AGENUSA,cust044778,"Rp 790,097.02",114.10.20.30,-,-,0.0,0.028533,SAFE,NO,-,SAFE,2026-06-09 12:06:30
165,227717244202,AGENUSA,card_super_281914,"Rp 3,097,474.85",114.10.20.30,-,-,88.0,0.016584,CRITICAL,NO,RULE:Very High Amount | PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:30
164,503301042773,AGENUSA,card_dcln_575270,"Rp 1,617,022.88",180.250.50.60,-,-,100.0,0.008023,CRITICAL,NO,PATTERN:Decline Velocity | PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,FRAUD,2026-06-09 12:06:30
163,284527577669,AGENUSA,cust387827,"Rp 152,343.21",180.250.50.60,-,-,0.0,0.032786,SAFE,NO,-,SAFE,2026-06-09 12:06:20
162,134403127850,AGENUSA,card_super_281914,"Rp 520,482.39",36.90.120.15,-,-,30.0,0.026905,LOW,NO,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:06:20
243,INV-4535000377,NUSABILL,cust-hacker-001,"Rp 301,654.67",180.250.50.60,-,-,60.0,-0.021816,HIGH,YES,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:20
242,INV-0864032723,NUSABILL,cust-burst-5821,"Rp 81,238.21",36.90.120.15,-,-,30.0,-0.062345,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:06:17
241,INV-1566292087,NUSABILL,cust-hacker-001,"Rp 97,580.88",36.90.120.15,-,-,60.0,-0.061866,HIGH,YES,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:17
161,744651864382,AGENUSA,card_velo_990569,"Rp 825,073.16",114.10.20.30,-,-,30.0,0.020031,LOW,NO,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:06:15
240,INV-1457680528,NUSABILL,cust-hacker-001,"Rp 32,274.27",36.90.120.15,-,-,60.0,-0.062705,HIGH,YES,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:14
239,INV-9463617936,NUSABILL,cust-hacker-001,"Rp 453,402.33",180.250.50.60,-,-,60.0,-0.055267,HIGH,YES,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:11
160,195043459855,AGENUSA,cust381569,"Rp 1,363,838.02",36.90.120.15,-,-,0.0,0.027366,SAFE,NO,-,SAFE,2026-06-09 12:06:10
238,INV-2125735039,NUSABILL,cust-hacker-001,"Rp 43,293.88",36.90.120.15,-,-,60.0,-0.062345,HIGH,YES,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:08
237,INV-9227641933,NUSABILL,cust-velo-2571,"Rp 459,419.04",180.250.50.60,-,-,30.0,-0.055267,LOW,YES,PATTERN:HIGH_FREQUENCY,SAFE,2026-06-09 12:06:07
236,INV-8845143601,NUSABILL,cust-hacker-001,"Rp 298,066.39",36.90.120.15,Central Jakarta,ID,100.0,-0.021134,CRITICAL,YES,PATTERN:Location Jump Detected | RULE:High ML Anomaly Score,FRAUD,2026-06-09 12:06:05
235,INV-6762312944,NUSABILL,cust-hacker-001,"Rp 393,143.03",114.10.20.30,Semarang,ID,60.0,-0.052419,HIGH,YES,PATTERN:BURST_AMOUNT | PATTERN:HIGH_FREQUENCY,UNDER_REVIEW,2026-06-09 12:06:02
159,525272053003,AGENUSA,cust528735,"Rp 122,003.47",180.250.50.60,-,-,0.0,0.032786,SAFE,NO,-,SAFE,2026-06-09 12:06:00
158,673082858974,AGENUSA,card_dcln_575270,"Rp 646,076.77",180.250.50.60,-,-,0.0,0.01627,SAFE,NO,-,SAFE,2026-06-09 12:06:00
